activation_l1_bytes_total,activation_l2_bytes_total,actual_bandwidth_tx_delay_ms,allocator_bottleneck_client,allocator_bottleneck_mig,allocator_elapsed_ms,allocator_equal_total_delay_improvement,allocator_equal_total_delay_ms,allocator_equal_tx_delay_ms,allocator_floor_hit_rate,allocator_hybrid_total_delay_ms,allocator_hybrid_tx_delay_ms,allocator_oracle_gap_closure,available_migs,bandwidth_allocation_sum,bandwidth_alpha_max,bandwidth_alpha_mean,bandwidth_alpha_min,bandwidth_context_score_std,bandwidth_cv,bandwidth_floor_hit_rate,bandwidth_gini,bandwidth_hz,bandwidth_latent_mean,bandwidth_physical_score_std,bandwidth_unused,bandwidth_violation,baseline_exploration_epsilon,channel_bandwidth_spearman,channel_permutation_delta_spearman,client_local_steps,cluster_load_cv,cluster_physics_prior_std,cluster_size_std,cluster_size_violation,compute_delay_ms,cpsl_proxy_delay,cumulative_global_delay_ms,delay,delay_normalized,downlink_delay_ms,downlink_payload_bytes_per_client_mean,downlink_payload_bytes_total,epoch,equal_bandwidth_improvement,equal_bandwidth_tx_delay_ms,feature_compression_mean,global_round_delay_ms,gradient_l1_bytes_total,gradient_l2_bytes_total,is_warmup,kl_normalized,kl_sum,label_kl_weighted_to_station,max_bandwidth_share,max_cluster_size,mean_l1,mean_l2,min_bandwidth_share,nonempty_cluster_count,optimizer_steps,oracle_bandwidth_tx_delay_ms,oracle_gap_closure,oracle_opportunity,paper_local_frequency_mean,pcsfl_clustering_factor,pcsfl_execution_group_count,pcsfl_learning_reward,pcsfl_waiting_factor,penalty,physical_cluster_count,ppo_approx_kl,ppo_bandwidth_actor_gradient_share,ppo_bandwidth_alpha_max,ppo_bandwidth_alpha_mean,ppo_bandwidth_alpha_min,ppo_bandwidth_approx_kl,ppo_bandwidth_channel_weight,ppo_bandwidth_channel_weight_drift,ppo_bandwidth_clip_fraction,ppo_bandwidth_context_score_std,ppo_bandwidth_effective_physical_coefficient,ppo_bandwidth_entropy,ppo_bandwidth_head_grad_norm_post,ppo_bandwidth_head_grad_norm_pre,ppo_bandwidth_latent_mean_abs,ppo_bandwidth_latent_mean_std,ppo_bandwidth_mean_head_parameter_drift,ppo_bandwidth_physical_score_std,ppo_bandwidth_physical_weight,ppo_bandwidth_policy_grad_norm,ppo_bandwidth_policy_loss,ppo_clip_fraction,ppo_cluster_approx_kl,ppo_cluster_clip_fraction,ppo_cluster_entropy,ppo_cluster_physics_prior_std,ppo_cluster_policy_grad_norm,ppo_cluster_policy_loss,ppo_component_balanced_ppo,ppo_decoder_grad_norm_post,ppo_decoder_grad_norm_pre,ppo_encoder_grad_norm_post,ppo_encoder_grad_norm_pre,ppo_entropy,ppo_episode_count,ppo_grad_norm,ppo_grad_norm_post,ppo_grad_norm_post_max,ppo_grad_norm_pre,ppo_grad_norm_pre_max,ppo_kl_early_stop,ppo_online_target_value_drift,ppo_online_value_mean,ppo_partition_residual_parameter_drift,ppo_policy_loss,ppo_policy_version_after,ppo_policy_version_count,ppo_ppo_epochs_run,ppo_ppo_update_elapsed_seconds,ppo_runtime_profile_coverage,ppo_runtime_profile_mean_abs_error,ppo_runtime_profile_mean_seconds,ppo_runtime_profile_observations,ppo_split_approx_kl,ppo_split_clip_fraction,ppo_split_entropy_component,ppo_split_head_grad_norm_post,ppo_split_head_grad_norm_pre,ppo_split_physics_prior_std,ppo_split_policy_grad_norm,ppo_split_policy_loss,ppo_split_residual_parameter_drift,ppo_station_1_explained_variance,ppo_station_1_return_mean,ppo_station_1_return_std,ppo_station_1_td_residual_mean,ppo_station_1_td_residual_std,ppo_station_2_explained_variance,ppo_station_2_return_mean,ppo_station_2_return_std,ppo_station_2_td_residual_mean,ppo_station_2_td_residual_std,ppo_station_3_explained_variance,ppo_station_3_return_mean,ppo_station_3_return_std,ppo_station_3_td_residual_mean,ppo_station_3_td_residual_std,ppo_target_drift_during_update,ppo_target_value_mean,ppo_transition_count,ppo_update_epoch,ppo_value_head_grad_norm_post,ppo_value_head_grad_norm_pre,ppo_value_loss,required_airtime_bandwidth_spearman,reward,reward_objective_mode,runtime_profile_coverage,runtime_profile_mean_abs_error,runtime_profile_mean_seconds,runtime_profile_observations,smashed_data_bytes_per_client_mean,smashed_data_bytes_total,split_physics_prior_std,split_predicted_delay_min_seconds,station_id,test_accuracy,top_worker_count,total_delay_ms,train_accuracy,train_loss,tx_delay_ms,uplink_delay_ms,uplink_payload_bytes_per_client_mean,uplink_payload_bytes_total,vehicle_count,virtual_cluster_count
46137344.0,1310720.0,3182.7810770338024,3,0,0.7323902100324631,0.3832224778190491,5981.700444654225,2918.366198923736,0.0,3689.378378682525,3182.7810770338024,1.0,2,1.0,0.0,0.0,0.0,0.0,1.3582614264145483,0.0,0.6167395748360804,100000000.0,0.10000000149011612,0.0,0.0,0.0,,-0.7818181818181817,0.0,4,0.2,0.027994168922305107,1.0,0.0,144.96804680675268,,0.0,3.6893783786825254,3.6893783786825254,2918.366198923736,4744806.4,47448064.0,1,-0.09060373513357557,2918.366198923736,1.0,9359.591393052924,46137344.0,1310720.0,True,0.1415246392735708,1.3034900987307354,0.3129059932192644,0.4661598193025993,6,4.2,6.0,0.012893874624130266,2,4,1221.7277280092899,-0.15584632945848081,0.581365858589011,,,,,,0.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999999999999999,-3.6893783786825254,delay_only,0.012121212121212121,0.0,0.12059077341109514,2,4613734.4,46137344.0,0.9177300333976746,0.0,1,,0,3689.378378682525,0.028125,4.556397294998169,3593.164878667085,3182.7810770338024,4744806.4,47448064.0,10,2
109051904.0,41943040.0,7323.985589180413,0,1,0.6630751304328442,0.36954412934881137,14845.751826191321,7357.279255989008,0.0,9359.591393052924,7323.985589180412,1.0,2,1.0,0.0,0.0,0.0,0.0,1.0385554296950064,0.0,0.4537228842125846,100000000.0,0.10000000149011612,0.0,0.0,0.0,,-0.8060606060606059,0.0,4,0.4,0.08320385217666626,2.0,0.0,131.1933142133057,,0.0,9.359591393052924,9.359591393052924,7357.279255989008,15099494.4,150994944.0,1,0.004525268873203734,7357.279255989007,1.0,9359.591393052924,109051904.0,41943040.0,True,0.13926299609070666,1.2826595952165971,0.2808833430116012,0.3932021401388261,7,2.7,4.0,0.02600240629190416,2,4,3867.017603607786,0.009539017450419534,0.47439570131038067,,,,,,0.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999999999999999,-9.359591393052924,delay_only,0.024242424242424242,0.0,0.11601871950551867,4,10905190.4,109051904.0,0.9186099767684937,0.0,2,,0,9359.591393052924,0.0140625,4.699344980716705,9267.891376066345,7323.985589180412,15099494.4,150994944.0,10,2
31457280.0,1310720.0,1362.3854367030483,0,0,0.6495700217783451,0.33950925858075587,2832.9213313197897,1384.5223637948834,0.0,1871.1183105058,1362.385436703048,1.0,2,1.0,0.0,0.0,0.0,0.0,0.8891478881366918,0.0,0.43303985973542475,100000000.0,0.10000000149011612,0.0,0.0,0.0,,-0.709090909090909,0.0,4,0.0,0.06524764001369476,0.0,0.0,114.95657870545983,,0.0,1.8711183105058002,1.8711183105058002,1384.5223637948834,3276800.0,32768000.0,1,0.015988854835944255,1384.5223637948832,1.0,9359.591393052924,31457280.0,1310720.0,True,0.13269391630559668,1.222156134465066,0.3385751151460703,0.3275275633311773,5,4.5,6.0,0.02890344277682712,2,4,763.6222366217838,0.03565295950674413,0.4484579977973441,,,,,,0.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999999999999999,-1.8711183105058002,delay_only,0.03636363636363636,0.0,0.10715134340959291,6,3145728.0,31457280.0,0.9236484169960022,0.0,3,,0,1871.1183105058003,0.021875,4.61515611410141,1807.2417067757774,1362.385436703048,3276800.0,32768000.0,10,2
46137344.0,1310720.0,2895.92770745801,2,0,0.6514959968626499,0.34949024103571785,5145.508938791714,2543.4727458499933,0.0,3347.203779521957,2895.92770745801,1.0,2,1.0,0.0,0.0,0.0,0.0,1.034905133836368,0.0,0.5347342379575388,100000000.0,0.10000000149011612,0.0,0.0,0.0,,-0.6242424242424242,0.0,4,0.2,0.07554955780506134,1.0,0.0,70.9154037758708,,0.0,3.347203779521957,3.347203779521957,2543.472745849993,4744806.4,47448064.0,2,-0.13857233665392846,2543.472745849993,1.0,5594.437826035206,46137344.0,1310720.0,True,0.1485769901689827,1.36844465090009,0.35556534460469125,0.3413289562852081,6,4.2,6.0,0.013134328847661378,2,4,1260.8845953462933,-0.27479979560827883,0.5042665200939972,,,,,,0.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999999999999999,-3.347203779521957,delay_only,0.03636363636363636,0.003723423198486368,0.10342792021110654,8,4613734.4,46137344.0,0.9197271466255188,0.0,1,,0,3347.203779521957,0.0234375,4.4179976224899296,3288.6403324302287,2895.92770745801,4744806.4,47448064.0,10,2
83886080.0,27262976.0,2837.448625961643,4,0,0.6413278169929981,0.23637557061676276,6479.387907776089,3195.5465083006034,0.0,4947.818893828164,2837.4486259616433,1.0,2,1.0,0.0,0.0,0.0,0.0,0.351062656924358,0.0,0.17060140549813185,100000000.0,0.10000000149011612,0.0,0.0,0.0,,-0.7333333333333332,0.0,4,0.4,0.08124804496765137,2.0,0.0,88.29489117488265,,0.0,4.947818893828163,4.947818893828163,3195.5465083006034,11114905.6,111149056.0,2,0.11206154609509893,3195.5465083006034,1.0,5594.437826035206,83886080.0,27262976.0,True,0.14270182521847838,1.3143323819644406,0.29324827745682736,0.19204265196770226,7,3.0,4.7,0.07126385860136351,2,4,2374.0756344786787,0.4359227986658815,0.25706741294113844,,,,,,0.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999999999999999,-4.947818893828163,delay_only,0.048484848484848485,0.002792567398864776,0.09560819036560134,10,8388608.0,83886080.0,0.9189981818199158,0.0,2,,0,4947.818893828164,0.0234375,4.527876532077789,4891.815783344874,2837.448625961643,11114905.6,111149056.0,10,2
83886080.0,33554432.0,3365.9565753779925,0,0,0.6487569771707058,0.2421811789649155,7382.289368841371,3655.0073196159406,0.0,5594.437826035206,3365.956575377992,1.0,2,1.0,0.0,0.0,0.0,0.0,0.36125072496978283,0.0,0.1761835139698616,100000000.0,0.10000000149011612,0.0,0.0,0.0,,-0.7575757575757575,0.0,4,0.2,0.06130988523364067,1.0,0.0,72.27472960948944,,0.0,5.594437826035206,5.594437826035206,3655.0073196159406,11744051.2,117440512.0,2,0.07908349257924893,3655.00731961594,1.0,5594.437826035206,83886080.0,33554432.0,True,0.12871944785079792,1.1855499271986871,0.30435519621593665,0.19575267179157868,6,3.0,4.4,0.06444893092922427,2,4,2690.6382161503047,0.2997304073711936,0.26384874752233584,,,,,,0.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9878787878787878,-5.594437826035206,delay_only,0.06060606060606061,0.0022340539190918206,0.08962984748184681,12,8388608.0,83886080.0,0.9192055463790894,0.0,3,,0,5594.437826035206,0.0265625,4.522920632362366,5535.279603751038,3365.956575377992,11744051.2,117440512.0,10,2
65011712.0,7208960.0,5655.378403291447,0,0,0.6543011404573917,0.3979828875120719,10485.79095603255,5216.536117816852,0.5,6312.625593502747,5655.378403291446,1.0,2,1.0,0.0,0.0,0.0,0.0,1.5732265602758677,0.6,0.6964616020791451,100000000.0,0.10000000149011612,0.0,0.0,0.0,,-0.7753786953560957,0.0,4,0.4,0.057630255818367004,2.0,0.0,87.49404735863209,,0.0,6.312625593502746,6.312625593502746,5216.536117816853,7222067.2,72220672.0,3,-0.0841252270785107,5216.536117816852,1.0,6312.625593502747,65011712.0,7208960.0,True,0.15739442053138328,1.4496561857439965,0.3031833552591657,0.49996955457906134,7,4.1,5.7,0.010000000000000002,2,4,1703.269398612463,-0.12491003972905736,0.6734865128614713,,,,,,0.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9692233691951198,-6.312625593502746,delay_only,0.07272727272727272,0.001861711599243184,0.08637593688132862,14,6501171.2,65011712.0,0.9170628786087036,0.0,1,,0,6312.625593502747,0.0265625,4.427825593948365,6259.906873103903,5655.378403291446,7222067.2,72220672.0,10,2
52428800.0,11141120.0,3733.1530273107846,3,1,0.6705410778522491,0.33571037748992383,6329.14837068472,3131.348996844906,0.0,4204.387581972416,3733.1530273107846,1.0,2,1.0,0.0,0.0,0.0,0.0,0.9828455417981846,0.0,0.522948123583656,100000000.0,0.10000000149011612,0.0,0.0,0.0,,-0.5393939393939393,0.0,4,0.0,0.053895141929388046,0.0,0.0,66.45037699490786,,0.0,4.204387581972417,4.204387581972417,3131.3489968449067,6356992.0,63569920.0,3,-0.19218682780879606,3131.348996844906,1.0,6312.625593502747,52428800.0,11141120.0,True,0.12700511907022102,1.169760375620099,0.3267913291867913,0.31108540429398723,5,4.0,5.5,0.010934634656506768,2,4,1577.4881578449395,-0.38729596329436244,0.49622729391249915,,,,,,0.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999999999999999,-4.204387581972417,delay_only,0.07878787878787878,0.0025174056108181295,0.08404429890931799,16,5242880.0,52428800.0,0.9155870676040649,0.0,2,,0,4204.387581972416,0.028125,4.5071941614151,4141.359672015542,3733.153027310785,6356992.0,63569920.0,10,2
83886080.0,20971520.0,2980.5560911419693,0,0,0.6406982429325581,0.14361543855363673,5886.763202752556,2914.0454091968068,0.0,5041.333123727837,2980.55609114197,1.0,2,1.0,0.0,0.0,0.0,0.0,0.2578646261314897,0.0,0.14323883974573912,100000000.0,0.10000000149011612,0.0,0.0,0.0,,-0.9999999999999999,0.0,4,0.2,0.05183893442153931,1.0,0.0,72.274602483958,,0.0,5.041333123727838,5.041333123727838,2914.0454091968063,10485760.0,104857600.0,3,-0.022824174851652466,2914.0454091968063,1.0,6312.625593502747,83886080.0,20971520.0,True,0.12963787785831296,1.1940089801757372,0.29830263071878094,0.14086937125010998,6,3.0,5.0,0.06671581977643759,2,4,2447.528366773679,-0.14256860070899277,0.16009257815639621,,,,,,0.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999999999999999,-5.041333123727838,delay_only,0.08484848484848485,0.002344531466120056,0.08319666576571762,18,8388608.0,83886080.0,0.9187291264533997,0.0,3,,0,5041.333123727838,0.0234375,4.3873080015182495,4982.660739368895,2980.55609114197,10485760.0,104857600.0,10,2
54525952.0,15073280.0,2466.727680032851,1,1,0.6498699076473713,0.36944301492218895,5823.356774833857,2883.8935581561473,0.0,3671.9582909716823,2466.727680032851,1.0,2,1.0,0.0,0.0,0.0,0.0,1.0022199230008406,0.0,0.38832478513928903,100000000.0,0.10000000149011612,0.0,0.0,0.0,,-0.8666666666666665,0.0,4,0.4,0.0593712292611599,2.0,0.0,90.12027364224195,,0.0,3.6719582909716824,3.6719582909716824,2883.8935581561473,6959923.2,69599232.0,4,0.14465370157073906,2883.8935581561473,1.0,8710.047352067983,54525952.0,15073280.0,True,0.1547792854374029,1.4255699014097374,0.281488975864262,0.3937082527054312,7,3.7,5.3,0.04520605765780106,2,4,1558.4347488458743,0.31473318913650444,0.45960739624444436,,,,,,0.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999999999999999,-3.6719582909716824,delay_only,0.09696969696969697,0.0020514650328550487,0.08190270330524071,20,5452595.2,54525952.0,0.9174654483795166,0.0,1,,0,3671.9582909716823,0.0265625,4.407438194751739,3616.3886324501195,2466.727680032851,6959923.2,69599232.0,10,2
