activation_l1_bytes_total,activation_l2_bytes_total,actual_bandwidth_tx_delay_ms,available_migs,bandwidth_allocation_sum,bandwidth_alpha_max,bandwidth_alpha_mean,bandwidth_alpha_min,bandwidth_context_score_std,bandwidth_cv,bandwidth_floor_hit_rate,bandwidth_gini,bandwidth_hz,bandwidth_latent_mean,bandwidth_physical_score_std,bandwidth_unused,bandwidth_violation,baseline_exploration_epsilon,channel_bandwidth_spearman,channel_permutation_delta_spearman,client_local_steps,cluster_load_cv,cluster_physics_prior_std,cluster_size_std,cluster_size_violation,compute_delay_ms,cpsl_proxy_delay,cumulative_global_delay_ms,delay,delay_normalized,downlink_delay_ms,downlink_payload_bytes_per_client_mean,downlink_payload_bytes_total,epoch,equal_bandwidth_improvement,equal_bandwidth_tx_delay_ms,feature_compression_mean,global_round_delay_ms,gradient_l1_bytes_total,gradient_l2_bytes_total,is_warmup,kl_normalized,kl_sum,label_kl_weighted_to_station,max_bandwidth_share,max_cluster_size,mean_l1,mean_l2,min_bandwidth_share,nonempty_cluster_count,optimizer_steps,oracle_bandwidth_tx_delay_ms,oracle_gap_closure,oracle_opportunity,paper_local_frequency_mean,pcsfl_cluster_q_loss,pcsfl_clustering_factor,pcsfl_execution_group_count,pcsfl_learning_reward,pcsfl_learning_reward_mean,pcsfl_split_q_loss,pcsfl_waiting_factor,penalty,physical_cluster_count,required_airtime_bandwidth_spearman,reward,reward_objective_mode,smashed_data_bytes_per_client_mean,smashed_data_bytes_total,split_physics_prior_std,split_predicted_delay_min_seconds,station_id,test_accuracy,top_worker_count,total_delay_ms,train_accuracy,train_loss,tx_delay_ms,uplink_delay_ms,uplink_payload_bytes_per_client_mean,uplink_payload_bytes_total,vehicle_count,virtual_cluster_count
52428800.0,33685504.0,7117.496613529404,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,4,0.4,0.0,2.0,0.0,217.87495631724596,,0.0,14.452868183376054,14.452868183376054,7117.496613529404,8611430.4,86114304.0,1,0.0,7117.496613529404,1.0,15122.2833538655,52428800.0,33685504.0,True,0.15946567889593144,1.4687331802797878,0.3063470448174591,0.1,7,3.8,4.8,0.1,2,8,2050.842797192742,0.0,0.7118589711311747,,,0.00010911968456639443,16,-1.00000130575967,,,6.9263052307348385,0.0,2,0.0,-14.452868183376054,delay_only,5242880.0,52428800.0,0.0,0.0,1,,0,14452.868183376055,0.0328125,4.434618157148361,14234.993227058809,7117.496613529404,8611430.4,86114304.0,10,2
39845888.0,19005440.0,3678.6396279945034,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.29916666666666664,0.0,0.0,4,0.0,0.0,0.0,0.0,190.08159264922142,,0.0,7.547360848638229,7.547360848638229,3678.639627994504,5885132.8,58851328.0,1,0.0,3678.6396279945034,1.0,15122.2833538655,39845888.0,19005440.0,True,0.056043283550621985,0.2580888585322012,0.0,0.1,10,4.1,5.1,0.1,1,4,1578.5600246959132,0.0,0.570884842134835,,,0.00010608458978822455,8,-1.0000012341321327,,,4.210192401504192,0.0,1,0.0,-7.547360848638229,delay_only,3984588.8,39845888.0,0.0,0.0,2,,0,7547.360848638229,0.00625,4.673854696750641,7357.279255989008,3678.639627994504,5885132.8,58851328.0,10,1
56623104.0,35782656.0,7422.220957430255,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.29833333333333334,0.0,0.0,4,0.0,0.0,0.0,0.0,277.8414390049875,,0.0,15.1222833538655,15.1222833538655,7422.220957430256,9240576.0,92405760.0,1,0.0,7422.220957430255,1.0,15122.2833538655,56623104.0,35782656.0,True,0.05917326419449009,0.2725029520760624,0.0,0.1,10,3.7,4.7,0.1,1,4,2053.5181823026724,0.0,0.7233283414653761,,,6.256193591980264e-05,16,-1.0000004292176101,,,10.66938653216577,0.0,1,0.0,-15.1222833538655,delay_only,5662310.4,56623104.0,0.0,0.0,3,,0,15122.2833538655,0.01875,4.612687182426453,14844.441914860512,7422.220957430256,9240576.0,92405760.0,10,1
58720256.0,29360128.0,9992.821589630908,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.2975,0.0,0.0,4,0.0,0.0,0.0,0.0,214.47113109752536,,0.0,20.200114310359343,20.200114310359343,9992.821589630908,8808038.4,88080384.0,2,0.0,9992.821589630908,1.0,20200.114310359342,58720256.0,29360128.0,True,0.0693422136440747,0.3193326949041095,9.998668559769158e-13,0.1,10,3.7,4.7,0.1,1,4,2658.0963027730686,0.0,0.7339994235931068,,,6.638091144850478e-05,12,-1.0000004832185396,,,14.606388009245808,0.0,1,0.0,-20.200114310359343,delay_only,5872025.6,58720256.0,0.0,0.0,1,,0,20200.114310359342,0.0203125,4.461411762237549,19985.643179261817,9992.821589630908,8808038.4,88080384.0,10,1
37748736.0,15204352.0,2751.176145202201,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.29666666666666663,0.0,0.0,4,0.0,0.0,0.0,0.0,223.31232856959105,,0.0,5.725664618973993,5.725664618973993,2751.176145202201,5295308.8,52953088.0,2,0.0,2751.176145202201,1.0,20200.114310359342,37748736.0,15204352.0,True,0.056043283550621985,0.2580888585322012,0.0,0.1,10,4.3,5.3,0.1,1,4,1133.5852670853214,0.0,0.5879633991948533,,,8.710338443052024e-05,12,-1.000000832007374,,,3.1989881764724477,0.0,1,0.0,-5.725664618973993,delay_only,3774873.6,37748736.0,0.0,0.0,2,,0,5725.664618973993,0.03125,4.450375658273697,5502.352290404402,2751.176145202201,5295308.8,52953088.0,10,1
79691776.0,48234496.0,7028.357615092924,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.29583333333333334,0.0,0.0,4,0.6,0.0,3.0,0.0,162.9117876291275,,0.0,14.219627017814977,14.219627017814977,7028.357615092925,12792627.2,127926272.0,2,0.0,7028.357615092924,1.0,20200.114310359342,79691776.0,48234496.0,True,0.181573879874758,1.6723572363068375,0.29299004684121516,0.1,8,3.3,4.3,0.1,2,8,2761.502421180659,0.0,0.6070913615365106,,,9.045557817444205e-05,16,-1.000000897279641,,,6.313200707316852,0.0,2,0.0,-14.219627017814977,delay_only,7969177.6,79691776.0,0.0,0.0,3,,0,14219.627017814977,0.0296875,4.419218748807907,14056.71523018585,7028.357615092925,12792627.2,127926272.0,10,2
52428800.0,33685504.0,6936.328773193789,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.295,0.0,0.0,4,0.8,0.0,4.0,0.0,180.87405432015657,,0.0,14.053531600707732,14.053531600707732,6936.328773193788,8611430.4,86114304.0,3,0.0,6936.328773193789,1.0,14053.531600707733,52428800.0,33685504.0,True,0.22806924724438285,2.1005953955011574,0.1842396766854584,0.1,9,3.8,4.8,0.1,2,8,1859.8799143952021,0.0,0.731863933326962,,,9.5647934358567e-05,16,-1.000001003247951,,,9.053920101944868,0.0,2,0.0,-14.053531600707732,delay_only,5242880.0,52428800.0,0.0,0.0,1,,0,14053.531600707733,0.025,4.4623029172420505,13872.657546387576,6936.328773193788,8611430.4,86114304.0,10,2
52428800.0,33685504.0,6811.630191006395,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.29416666666666663,0.0,0.0,4,0.6,0.0,3.0,0.0,106.4312937669456,,0.0,13.729691675779733,13.729691675779733,6811.630191006394,8611430.4,86114304.0,3,0.0,6811.630191006395,1.0,14053.531600707733,52428800.0,33685504.0,True,0.15443028208832263,1.4223554617737484,0.2656890323591251,0.1,8,3.8,4.8,0.1,2,8,1970.6010678264404,0.0,0.7107005206436066,,,0.00010109759750775993,12,-0.6503292842935451,,,1.7916171315924068,0.0,2,0.0,-13.729691675779733,delay_only,5242880.0,52428800.0,0.0,0.0,2,,0,13729.691675779733,0.028125,4.505834829807282,13623.260382012788,6811.630191006394,8611430.4,86114304.0,10,2
44040192.0,19267584.0,2690.119427794519,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.29333333333333333,0.0,0.0,4,0.8,0.0,4.0,0.0,214.14672723039985,,0.0,5.594385582819438,5.594385582819438,2690.119427794519,6330777.6,63307776.0,3,0.0,2690.119427794519,1.0,14053.531600707733,44040192.0,19267584.0,True,0.22460813912561217,2.0687174116630693,0.17621621023601702,0.1,9,4.1,5.1,0.1,2,8,1434.5920865861603,0.0,0.4667180676947479,,,0.0003444853464316111,16,-0.7909336074794047,,,2.0930024408027363,0.0,2,0.0,-5.594385582819438,delay_only,4404019.2,44040192.0,0.0,0.0,3,,0,5594.385582819438,0.0328125,4.496772074699402,5380.238855589038,2690.119427794519,6330777.6,63307776.0,10,2
52428800.0,33685504.0,6809.7261512727055,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.2925,0.0,0.0,4,0.0,0.0,0.0,0.0,230.70079600438476,,0.0,13.850153098549798,13.850153098549798,6809.726151272706,8611430.4,86114304.0,4,0.0,6809.7261512727055,1.0,13850.153098549798,52428800.0,33685504.0,True,0.0693422136440747,0.3193326949041095,9.998668559769158e-13,0.1,10,3.8,4.8,0.1,1,4,1837.789701829195,0.0,0.7301228183036816,,,9.622698416933417e-05,12,-1.000001015431984,,,9.923018816369698,0.0,1,0.0,-13.850153098549798,delay_only,5242880.0,52428800.0,0.0,0.0,1,,0,13850.153098549798,0.025,4.408823227882385,13619.452302545413,6809.726151272706,8611430.4,86114304.0,10,1
